A1|Dressing for one wound
E2625|"Skin protection and positioning wheelchair seat cushion, adjustable, width 22 inches or greater, any depth"
E2626|"Wheelchair accessory, shoulder elbow, mobile arm support attached to wheelchair, balanced, adjustable"
E2627|"Wheelchair accessory, shoulder elbow, mobile arm support attached to wheelchair, balanced, adjustable rancho type"
E2628|"Wheelchair accessory, shoulder elbow, mobile arm support attached to wheelchair, balanced, reclining"
E2629|"Wheelchair accessory, shoulder elbow, mobile arm support attached to wheelchair, balanced, friction arm support (friction dampening to proximal and distal joints)"
E2630|"Wheelchair accessory, shoulder elbow, mobile arm support, monosuspension arm and hand support, overhead elbow forearm hand sling support, yoke type suspension support"
E2631|"Wheelchair accessory, addition to mobile arm support, elevating proximal arm"
E2632|"Wheelchair accessory, addition to mobile arm support, offset or lateral rocker arm with elastic balance control"
E2633|"Wheelchair accessory, addition to mobile arm support, supinator"
E8000|"Gait trainer, pediatric size, posterior support, includes all accessories and components"
E8001|"Gait trainer, pediatric size, upright support, includes all accessories and components"
E8002|"Gait trainer, pediatric size, anterior support, includes all accessories and components"
G0008|Administration of influenza virus vaccine
G0009|Administration of pneumococcal vaccine
G0010|Administration of hepatitis b vaccine
G0027|Semen analysis; presence and/or motility of sperm excluding huhner
G0101|Cervical or vaginal cancer screening; pelvic and clinical breast examination
G0102|Prostate cancer screening; digital rectal examination
G0103|Prostate cancer screening; prostate specific antigen test (psa)
G0104|Colorectal cancer screening; flexible sigmoidoscopy
G0105|Colorectal cancer screening; colonoscopy on individual at high risk
G0106|"Colorectal cancer screening; alternative to g0104, screening sigmoidoscopy, barium enema"
G0108|"Diabetes outpatient self-management training services, individual, per 30 minutes"
G0109|"Diabetes outpatient self-management training services, group session (2 or more), per 30 minutes"
G0117|Glaucoma screening for high risk patients furnished by an optometrist or ophthalmologist
G0118|Glaucoma screening for high risk patient furnished under the direct supervision of an optometrist or ophthalmologist
G0120|"Colorectal cancer screening; alternative to g0105, screening colonoscopy, barium enema."
G0121|Colorectal cancer screening; colonoscopy on individual not meeting criteria for high risk
G0122|Colorectal cancer screening; barium enema
G0123|"Screening cytopathology, cervical or vaginal (any reporting system), collected in preservative fluid, automated thin layer preparation, screening by cytotechnologist under physician supervision"
G0124|"Screening cytopathology, cervical or vaginal (any reporting system), collected in preservative fluid, automated thin layer preparation, requiring interpretation by physician"
G0127|"Trimming of dystrophic nails, any number"
G0128|"Direct (face-to-face with patient) skilled nursing services of a registered nurse provided in a comprehensive outpatient rehabilitation facility, each 10 minutes beyond the first 5 minutes"
G0129|"Occupational therapy services requiring the skills of a qualified occupational therapist, furnished as a component of a partial hospitalization treatment program, per session (45 minutes or more)"
G0130|"Single energy x-ray absorptiometry (sexa) bone density study, one or more sites; appendicular skeleton (peripheral) (e.g., radius, wrist, heel)"
G0141|"Screening cytopathology smears, cervical or vaginal, performed by automated system, with manual rescreening, requiring interpretation by physician"
G0143|"Screening cytopathology, cervical or vaginal (any reporting system), collected in preservative fluid, automated thin layer preparation, with manual screening and rescreening by cytotechnologist under physician supervision"
G0144|"Screening cytopathology, cervical or vaginal (any reporting system), collected in preservative fluid, automated thin layer preparation, with screening by automated system, under physician supervision"
G0145|"Screening cytopathology, cervical or vaginal (any reporting system), collected in preservative fluid, automated thin layer preparation, with screening by automated system and manual rescreening under physician supervision"
G0147|"Screening cytopathology smears, cervical or vaginal, performed by automated system under physician supervision"
G0148|"Screening cytopathology smears, cervical or vaginal, performed by automated system with manual rescreening"
G0151|"Services performed by a qualified physical therapist in the home health or hospice setting, each 15 minutes"
G0152|"Services performed by a qualified occupational therapist in the home health or hospice setting, each 15 minutes"
G0153|"Services performed by a qualified speech-language pathologist in the home health or hospice setting, each 15 minutes"
G0154|"Direct skilled nursing services of a licensed nurse (lpn or rn) in the home health or hospice setting, each 15 minutes"
G0155|"Services of clinical social worker in home health or hospice settings, each 15 minutes"
G0156|"Services of home health/hospice aide in home health or hospice settings, each 15 minutes"
G0157|"Services performed by a qualified physical therapist assistant in the home health or hospice setting, each 15 minutes"
G0158|"Services performed by a qualified occupational therapist assistant in the home health or hospice setting, each 15 minutes"
G0159|"Services performed by a qualified physical therapist, in the home health setting, in the establishment or delivery of a safe and effective physical therapy maintenance program, each 15 minutes"
G0160|"Services performed by a qualified occupational therapist, in the home health setting, in the establishment or delivery of a safe and effective occupational therapy maintenance program, each 15 minutes"
G0161|"Services performed by a qualified speech-language pathologist, in the home health setting, in the establishment or delivery of a safe and effective speech-language pathology maintenance program, each 15 minutes"
G0162|Skilled services by a registered nurse (rn) for management and evaluation of the plan of care; each 15 minutes (the patient's underlying condition or complication requires an rn to ensure that essential non-skilled care achieves its purpose in the home health or hospice setting)
G0163|"Skilled services of a licensed nurse (lpn or rn) for the observation and assessment of the patient's condition, each 15 minutes (the change in the patient's condition requires skilled nursing personnel to identify and evaluate the patient's need for possible modification of treatment in the home health or hospice setting)"
G0164|"Skilled services of a licensed nurse (lpn or rn), in the training and/or education of a patient or family member, in the home health or hospice setting, each 15 minutes"
G0166|"External counterpulsation, per treatment session"
G0168|Wound closure utilizing tissue adhesive(s) only
G0173|"Linear accelerator based stereotactic radiosurgery, complete course of therapy in one session"
G0175|Scheduled interdisciplinary team conference (minimum of three exclusive of patient care nursing staff) with patient present
G0176|"Activity therapy, such as music, dance, art or play therapies not for recreation, related to the care and treatment of patient's disabling mental health problems, per session (45 minutes or more)"
G0177|Training and educational services related to the care and treatment of patient's disabling mental health problems per session (45 minutes or more)
G0179|"Physician re-certification for medicare-covered home health services under a home health plan of care (patient not present), including contacts with home health agency and review of reports of patient status required by physicians to affirm the initial implementation of the plan of care that meets patient's needs, per re-certification period"
G0180|"Physician certification for medicare-covered home health services under a home health plan of care (patient not present), including contacts with home health agency and review of reports of patient status required by physicians to affirm the initial implementation of the plan of care that meets patient's needs, per certification period"
G0181|"Physician supervision of a patient receiving medicare-covered services provided by a participating home health agency (patient not present) requiring complex and multidisciplinary care modalities involving regular physician development and/or revision of care plans, review of subsequent reports of patient status, review of laboratory and other studies, communication (including telephone calls) with other health care professionals involved in the patient's care, integration of new information into the medical treatment plan and/or adjustment of medical therapy, within a calendar month, 30 minutes or more"
G0182|"Physician supervision of a patient under a medicare-approved hospice (patient not present) requiring complex and multidisciplinary care modalities involving regular physician development and/or revision of care plans, review of subsequent reports of patient status, review of laboratory and other studies, communication (including telephone calls) with other health care professionals involved in the patient's care, integration of new information into the medical treatment plan and/or adjustment of medical therapy, within a calendar month, 30 minutes or more"
G0186|"Destruction of localized lesion of choroid (for example, choroidal neovascularization); photocoagulation, feeder vessel technique (one or more sessions)"
G0202|"Screening mammography, producing direct digital image, bilateral, all views"
G0204|"Diagnostic mammography, producing direct 2-d digital image, bilateral, all views"
G0206|"Diagnostic mammography, producing direct 2-d digital image, unilateral, all views"
G0219|Pet imaging whole body; melanoma for non-covered indications
G0235|"Pet imaging, any site, not otherwise specified"
G0237|"Therapeutic procedures to increase strength or endurance of respiratory muscles, face to face, one on one, each 15 minutes (includes monitoring)"
G0238|"Therapeutic procedures to improve respiratory function, other than described by g0237, one on one, face to face, per 15 minutes (includes monitoring)"
G0239|"Therapeutic procedures to improve respiratory function or increase strength or endurance of respiratory muscles, two or more individuals (includes monitoring)"
G0245|"Initial physician evaluation and management of a diabetic patient with diabetic sensory neuropathy resulting in a loss of protective sensation (lops) which must include: (1) the diagnosis of lops, (2) a patient history, (3) a physical examination that consists of at least the following elements: (a) visual inspection of the forefoot, hindfoot and toe web spaces, (b) evaluation of a protective sensation, (c) evaluation of foot structure and biomechanics, (d) evaluation of vascular status and skin integrity, and (e) evaluation and recommendation of footwear and (4) patient education"
G0246|"Follow-up physician evaluation and management of a diabetic patient with diabetic sensory neuropathy resulting in a loss of protective sensation (lops) to include at least the following: (1) a patient history, (2) a physical examination that includes: (a) visual inspection of the forefoot, hindfoot and toe web spaces, (b) evaluation of protective sensation, (c) evaluation of foot structure and biomechanics, (d) evaluation of vascular status and skin integrity, and (e) evaluation and recommendation of footwear, and (3) patient education"
G0247|"Routine foot care by a physician of a diabetic patient with diabetic sensory neuropathy resulting in a loss of protective sensation (lops) to include, the local care of superficial wounds (i.e. superficial to muscle and fascia) and at least the following if present: (1) local care of superficial wounds, (2) debridement of corns and calluses, and (3) trimming and debridement of nails"
G0248|"Demonstration, prior to initiation of home inr monitoring, for patient with either mechanical heart valve(s), chronic atrial fibrillation, or venous thromboembolism who meets medicare coverage criteria, under the direction of a physician; includes: face-to-face demonstration of use and care of the inr monitor, obtaining at least one blood sample, provision of instructions for reporting home inr test results, and documentation of patient's ability to perform testing and report results"
G0249|"Provision of test materials and equipment for home inr monitoring of patient with either mechanical heart valve(s), chronic atrial fibrillation, or venous thromboembolism who meets medicare coverage criteria; includes: provision of materials for use in the home and reporting of test results to physician; testing not occurring more frequently than once a week; testing materials, billing units of service include 4 tests"
G0250|"Physician review, interpretation, and patient management of home inr testing for patient with either mechanical heart valve(s), chronic atrial fibrillation, or venous thromboembolism who meets medicare coverage criteria; testing not occurring more frequently than once a week; billing units of service include 4 tests"
G0251|"Linear accelerator based stereotactic radiosurgery, delivery including collimator changes and custom plugging, fractionated treatment, all lesions, per session, maximum five sessions per course of treatment"
G0252|"Pet imaging, full and partial-ring pet scanners only, for initial diagnosis of breast cancer and/or surgical planning for breast cancer (e.g., initial staging of axillary lymph nodes)"
G0255|"Current perception threshold/sensory nerve conduction test, (snct) per limb, any nerve"
G0257|Unscheduled or emergency dialysis treatment for an esrd patient in a hospital outpatient department that is not certified as an esrd facility
G0259|Injection procedure for sacroiliac joint; arthrograpy
G0260|"Injection procedure for sacroiliac joint; provision of anesthetic, steroid and/or other therapeutic agent, with or without arthrography"
G0268|Removal of impacted cerumen (one or both ears) by physician on same date of service as audiologic function testing
G0269|"Placement of occlusive device into either a venous or arterial access site, post surgical or interventional procedure (e.g., angioseal plug, vascular plug)"
G0270|"Medical nutrition therapy; reassessment and subsequent intervention(s) following second referral in same year for change in diagnosis, medical condition or treatment regimen (including additional hours needed for renal disease), individual, face to face with the patient, each 15 minutes"
G0271|"Medical nutrition therapy, reassessment and subsequent intervention(s) following second referral in same year for change in diagnosis, medical condition, or treatment regimen (including additional hours needed for renal disease), group (2 or more individuals), each 30 minutes"
G0275|"Renal angiography, non-selective, one or both kidneys, performed at the same time as cardiac catheterization and/or coronary angiography, includes positioning or placement of any catheter in the abdominal aorta at or near the origins (ostia) of the renal arteries, injection of dye, flush aortogram, production of permanent images, and radiologic supervision and interpretation (list separately in addition to primary procedure)"
G0276|"Blinded procedure for lumbar stenosis, percutaneous image-guided lumbar decompression (pild) or placebo-control, performed in an  approved coverage with evidence development (ced) clinical trial"
G0277|"Hyperbaric oxygen under pressure, full body chamber, per 30 minute interval"
G0278|"Iliac and/or femoral artery angiography, non-selective, bilateral or ipsilateral to catheter insertion, performed at the same time as cardiac catheterization and/or coronary angiography, includes positioning or placement of the catheter in the distal aorta or ipsilateral femoral or iliac artery, injection of dye, production of permanent images, and radiologic supervision and interpretation (list separately in addition to primary procedure)"
G0279|"Diagnostic digital breast tomosynthesis, unilateral or bilateral (list separately in addition to g0204 or g0206)"
G0281|"Electrical stimulation, (unattended), to one or more areas, for chronic stage iii and stage iv pressure ulcers, arterial ulcers, diabetic ulcers, and venous statsis ulcers not demonstrating measurable signs of healing after 30 days of conventional care, as part of a therapy plan of care"
G0282|"Electrical stimulation, (unattended), to one or more areas, for wound care other than described in g0281"
G0283|"Electrical stimulation (unattended), to one or more areas for indication(s) other than wound care, as part of a therapy plan of care"
G0288|"Reconstruction, computed tomographic angiography of aorta for surgical planning for vascular surgery"
G0289|"Arthroscopy, knee, surgical, for removal of loose body, foreign body, debridement/shaving of articular cartilage (chondroplasty) at the time of other surgical knee arthroscopy in a different compartment of the same knee"
G0290|"Transcatheter placement of a drug eluting intracoronary stent(s), percutaneous, with or without other therapeutic intervention, any method; single vessel"
G0291|"Transcatheter placement of a drug eluting intracoronary stent(s), percutaneous, with or without other therapeutic intervention, any method; each additional vessel"
G0293|"Noncovered surgical procedure(s) using conscious sedation, regional, general or spinal anesthesia in a medicare qualifying clinical trial, per day"
G0294|"Noncovered procedure(s) using either no anesthesia or local anesthesia only, in a medicare qualifying clinical trial, per day"
G0295|"Electromagnetic therapy, to one or more areas, for wound care other than described in g0329 or for other uses"
G0296|Counseling visit to discuss need for lung cancer screening (ldct) using low dose ct scan (service is for eligibility determination and shared decision making)
G0297|Low dose ct scan (ldct) for lung cancer screening
G0298|"Hiv antigen/antibody, combination assay, screening"
G0299|"Direct skilled nursing services of a registered nurse (rn) in the home health or hospice setting, each 15 minutes"
G0300|"Direct skilled nursing services of a license practical nurse (lpn) in the home health or hospice setting, each 15 minutes"
G0302|"Pre-operative pulmonary surgery services for preparation for lvrs, complete course of services, to include a minimum of 16 days of services"
G0303|"Pre-operative pulmonary surgery services for preparation for lvrs, 10 to 15 days of services"
G0304|"Pre-operative pulmonary surgery services for preparation for lvrs, 1 to 9 days of services"
G0305|"Post-discharge pulmonary surgery services after lvrs, minimum of 6 days of services"
G0306|"Complete cbc, automated (hgb, hct, rbc, wbc, without platelet count) and automated wbc differential count"
G0307|"Complete (cbc), automated (hgb, hct, rbc, wbc; without platelet count)"
G0328|"Colorectal cancer screening; fecal occult blood test, immunoassay, 1-3 simultaneous"
G0329|"Electromagnetic therapy, to one or more areas for chronic stage iii and stage iv pressure ulcers, arterial ulcers, diabetic ulcers and venous stasis ulcers not demonstrating measurable signs of healing after 30 days of conventional care as part of a therapy plan of care"
G0333|Pharmacy dispensing fee for inhalation drug(s); initial 30-day supply as a beneficiary
G0337|"Hospice evaluation and counseling services, pre-election"
G0339|"Image-guided robotic linear accelerator-based stereotactic radiosurgery, complete course of therapy in one session or first session of fractionated treatment"
G0340|"Image-guided robotic linear accelerator-based stereotactic radiosurgery, delivery including collimator changes and custom plugging, fractionated treatment, all lesions, per session, second through fifth sessions, maximum five sessions per course of treatment"
G0341|"Percutaneous islet cell transplant, includes portal vein catheterization and infusion"
G0342|"Laparoscopy for islet cell transplant, includes portal vein catheterization and infusion"
G0343|"Laparotomy for islet cell transplant, includes portal vein catheterization and infusion"
G0364|Bone marrow aspiration performed with bone marrow biopsy through the same incision on the same date of service
G0365|"Vessel mapping of vessels for hemodialysis access (services for preoperative vessel mapping prior to creation of hemodialysis access using an autogenous hemodialysis conduit, including arterial inflow and venous outflow)"
G0372|Physician service required to establish and document the need for a power mobility device
G0378|"Hospital observation service, per hour"
G0379|Direct admission of patient for hospital observation care
G0380|"Level 1 hospital emergency department visit provided in a type b emergency department; (the ed must meet at least one of the following requirements: (1) it is licensed by the state in which it is located under applicable state law as an emergency room or emergency department; (2) it is held out to the public (by name, posted signs, advertising, or other means) as a place that provides care for emergency medical conditions on an urgent basis without requiring a previously scheduled appointment; or (3) during the calendar year immediately preceding the calendar year in which a determination under 42 cfr 489.24 is being made, based on a representative sample of patient visits that occurred during that calendar year, it provides at least one-third of all of its outpatient visits for the treatment of emergency medical conditions on an urgent basis without requiring a previously scheduled appointment)"
G0381|"Level 2 hospital emergency department visit provided in a type b emergency department; (the ed must meet at least one of the following requirements: (1) it is licensed by the state in which it is located under applicable state law as an emergency room or emergency department; (2) it is held out to the public (by name, posted signs, advertising, or other means) as a place that provides care for emergency medical conditions on an urgent basis without requiring a previously scheduled appointment; or (3) during the calendar year immediately preceding the calendar year in which a determination under 42 cfr 489.24 is being made, based on a representative sample of patient visits that occurred during that calendar year, it provides at least one-third of all of its outpatient visits for the treatment of emergency medical conditions on an urgent basis without requiring a previously scheduled appointment)"
G0382|"Level 3 hospital emergency department visit provided in a type b emergency department; (the ed must meet at least one of the following requirements: (1) it is licensed by the state in which it is located under applicable state law as an emergency room or emergency department; (2) it is held out to the public (by name, posted signs, advertising, or other means) as a place that provides care for emergency medical conditions on an urgent basis without requiring a previously scheduled appointment; or (3) during the calendar year immediately preceding the calendar year in which a determination under 42 cfr 489.24 is being made, based on a representative sample of patient visits that occurred during that calendar year, it provides at least one-third of all of its outpatient visits for the treatment of emergency medical conditions on an urgent basis without requiring a previously scheduled appointment)"
G0383|"Level 4 hospital emergency department visit provided in a type b emergency department; (the ed must meet at least one of the following requirements: (1) it is licensed by the state in which it is located under applicable state law as an emergency room or emergency department; (2) it is held out to the public (by name, posted signs, advertising, or other means) as a place that provides care for emergency medical conditions on an urgent basis without requiring a previously scheduled appointment; or (3) during the calendar year immediately preceding the calendar year in which a determination under 42 cfr 489.24 is being made, based on a representative sample of patient visits that occurred during that calendar year, it provides at least one-third of all of its outpatient visits for the treatment of emergency medical conditions on an urgent basis without requiring a previously scheduled appointment)"
G0384|"Level 5 hospital emergency department visit provided in a type b emergency department; (the ed must meet at least one of the following requirements: (1) it is licensed by the state in which it is located under applicable state law as an emergency room or emergency department; (2) it is held out to the public (by name, posted signs, advertising, or other means) as a place that provides care for emergency medical conditions on an urgent basis without requiring a previously scheduled appointment; or (3) during the calendar year immediately preceding the calendar year in which a determination under 42 cfr 489.24 is being made, based on a representative sample of patient visits that occurred during that calendar year, it provides at least one-third of all of its outpatient visits for the treatment of emergency medical conditions on an urgent basis without requiring a previously scheduled appointment)"
G0389|Ultrasound b-scan and/or real time with image documentation; for abdominal aortic aneurysm (aaa) screening
G0390|Trauma response team associated with hospital critical care service
G0396|"Alcohol and/or substance (other than tobacco) abuse structured assessment (e.g., audit, dast), and brief intervention 15 to 30 minutes"
G0397|"Alcohol and/or substance (other than tobacco) abuse structured assessment (e.g., audit, dast), and intervention, greater than 30 minutes"
G0398|"Home sleep study test (hst) with type ii portable monitor, unattended; minimum of 7 channels: eeg, eog, emg, ecg/heart rate, airflow, respiratory effort and oxygen saturation"
G0399|"Home sleep test (hst) with type iii portable monitor, unattended; minimum of 4 channels: 2 respiratory movement/airflow, 1 ecg/heart rate and 1 oxygen saturation"
G0400|"Home sleep test (hst) with type iv portable monitor, unattended; minimum of 3 channels"
G0402|"Initial preventive physical examination; face-to-face visit, services limited to new beneficiary during the first 12 months of medicare enrollment"
G0403|"Electrocardiogram, routine ecg with 12 leads; performed as a screening for the initial preventive physical examination with interpretation and report"
G0404|"Electrocardiogram, routine ecg with 12 leads; tracing only, without interpretation and report, performed as a screening for the initial preventive physical examination"
G0405|"Electrocardiogram, routine ecg with 12 leads; interpretation and report only, performed as a screening for the initial preventive physical examination"
G0406|"Follow-up inpatient consultation, limited, physicians typically spend 15 minutes communicating with the patient via telehealth"
G0407|"Follow-up inpatient consultation, intermediate, physicians typically spend 25 minutes communicating with the patient via telehealth"
G0408|"Follow-up inpatient consultation, complex, physicians typically spend 35 minutes communicating with the patient via telehealth"
G0409|"Social work and psychological services, directly relating to and/or furthering the patient's rehabilitation goals, each 15 minutes, face-to-face; individual (services provided by a corf-qualified social worker or psychologist in a corf)"
G0410|"Group psychotherapy other than of a multiple-family group, in a partial hospitalization setting, approximately 45 to 50 minutes"
G0411|"Interactive group psychotherapy, in a partial hospitalization setting, approximately 45 to 50 minutes"
G0412|"Open treatment of iliac spine(s), tuberosity avulsion, or iliac wing fracture(s), unilateral or bilateral for pelvic bone fracture patterns which do not disrupt the pelvic ring includes internal fixation, when performed"
G0413|"Percutaneous skeletal fixation of posterior pelvic bone fracture and/or dislocation, for fracture patterns which disrupt the pelvic ring, unilateral or bilateral, (includes ilium, sacroiliac joint and/or sacrum)"
G0414|"Open treatment of anterior pelvic bone fracture and/or dislocation for fracture patterns which disrupt the pelvic ring, unilateral or bilateral, includes internal fixation when performed (includes pubic symphysis and/or superior/inferior rami)"
G0415|"Open treatment of posterior pelvic bone fracture and/or dislocation, for fracture patterns which disrupt the pelvic ring, unilateral or bilateral, includes internal fixation, when performed (includes ilium, sacroiliac joint and/or sacrum)"
G0416|"Surgical pathology, gross and microscopic examinations, for prostate needle biopsy, any method"
G0417|"Surgical pathology, gross and microscopic examination, for prostate needle  biopsy, any method, 21-40 specimens"
G0418|"Surgical pathology, gross and microscopic examination, for prostate needle  biopsy, any method, 41-60 specimens"
G0419|"Surgical pathology, gross and microscopic examination, for prostate needle  biopsy, any method, >60 specimens"
G0420|"Face-to-face educational services related to the care of chronic kidney disease; individual, per session, per one hour"
G0421|"Face-to-face educational services related to the care of chronic kidney disease; group, per session, per one hour"
G0422|"Intensive cardiac rehabilitation; with or without continuous ecg monitoring with exercise, per session"
G0423|"Intensive cardiac rehabilitation; with or without continuous ecg monitoring; without exercise, per session"
G0424|"Pulmonary rehabilitation, including exercise (includes monitoring), one hour, per session, up to two sessions per day"
G0425|"Telehealth consultation, emergency department or initial inpatient, typically 30 minutes communicating with the patient via telehealth"
G0426|"Telehealth consultation, emergency department or initial inpatient, typically 50 minutes communicating with the patient via telehealth"
G0427|"Telehealth consultation, emergency department or initial inpatient, typically 70 minutes or more communicating with the patient via telehealth"
G0428|"Collagen meniscus implant procedure for filling meniscal defects (e.g., cmi, collagen scaffold, menaflex)"
G0429|"Dermal filler injection(s) for the treatment of facial lipodystrophy syndrome (lds) (e.g., as a result of highly active antiretroviral therapy)"
G0431|"Drug screen, qualitative; multiple drug classes by high complexity test method (e.g., immunoassay, enzyme assay), per patient encounter"
G0432|"Infectious agent antibody detection by enzyme immunoassay (eia) technique, hiv-1 and/or hiv-2, screening"
G0433|"Infectious agent antibody detection by enzyme-linked immunosorbent assay (elisa) technique, hiv-1 and/or hiv-2, screening"
G0434|"Drug screen, other than chromatographic; any number of drug classes, by clia waived test or moderate complexity test, per patient encounter"
G0435|"Infectious agent antibody detection by rapid antibody test, hiv-1 and/or hiv-2, screening"
G0436|"Smoking and tobacco cessation counseling visit for the asymptomatic patient; intermediate, greater than 3 minutes, up to 10 minutes"
G0437|"Smoking and tobacco cessation counseling visit for the asymptomatic patient; intensive, greater than 10 minutes"
G0438|"Annual wellness visit; includes a personalized prevention plan of service (pps), initial visit"
G0439|"Annual wellness visit, includes a personalized prevention plan of service (pps), subsequent visit"
G0442|"Annual alcohol misuse screening, 15 minutes"
G0443|"Brief face-to-face behavioral counseling for alcohol misuse, 15 minutes"
G0444|"Annual depression screening, 15 minutes"
G0445|"High intensity behavioral counseling to prevent sexually transmitted infection; face-to-face, individual, includes: education, skills training and guidance on how to change sexual behavior; performed semi-annually, 30 minutes"
G0446|"Annual, face-to-face intensive behavioral therapy for cardiovascular disease, individual, 15 minutes"
G0447|"Face-to-face behavioral counseling for obesity, 15 minutes"
G0448|"Insertion or replacement of a permanent pacing cardioverter-defibrillator system with transvenous lead(s), single or dual chamber with insertion of pacing electrode, cardiac venous system, for left ventricular pacing"
G0451|"Development testing, with interpretation and report, per standardized instrument form"
G0452|Molecular pathology procedure; physician interpretation and report
G0453|"Continuous intraoperative neurophysiology monitoring, from outside the operating room (remote or nearby), per patient, (attention directed exclusively to one patient) each 15 minutes (list in addition to primary procedure)"
G0454|"Physician documentation of face-to-face visit for durable medical equipment determination performed by nurse practitioner, physician assistant or clinical nurse specialist"
G0455|"Preparation with instillation of fecal microbiota by any method, including assessment of donor specimen"
G0456|"Negative pressure wound therapy, (e.g. vacuum assisted drainage collection) using a mechanically-powered device, not durable medical equipment, including provision of cartridge and dressing(s), topical application(s), wound assessment, and instructions for ongoing care, per session; total wounds(s) surface area less than or equal to 50 square centimeters"
G0457|"Negative pressure wound therapy, (e.g. vacuum assisted drainage collection) using a mechanically-powered device, not durable medical equipment, including provision of cartridge and dressing(s), topical application(s), wound assessment, and instructions for ongoing care, per session; total wounds(s) surface area greater than 50 square centimeters"
G0458|"Low dose rate (ldr) prostate brachytherapy services, composite rate"
G0459|"Inpatient telehealth pharmacologic management, including prescription, use, and review of medication with no more than minimal medical psychotherapy"
G0460|"Autologous platelet rich plasma for chronic wounds/ulcers, including phlebotomy, centrifugation, and all other preparatory procedures, administration and dressings, per treatment"
G0461|"Immunohistochemistry or immunocytochemistry, per specimen; first single or multiplex antibody stain"
G0462|"Immunohistochemistry or immunocytochemistry, per specimen; each additional single or multiplex antibody stain (list separately in addition to code for primary procedure)"
G0463|Hospital outpatient clinic visit for assessment and management of a patient
G0464|"Colorectal cancer screening; stool-based dna and fecal occult hemoglobin (e.g., kras, ndrg4 and bmp3)"
G0466|"Federally qualified health center (fqhc) visit, new patient; a medically-necessary, face-to-face encounter (one-on-one) between a new patient and a fqhc practitioner during which time one or more fqhc services are rendered and includes a typical bundle of medicare-covered services that would be furnished per diem to a patient receiving a fqhc visit"
G0467|"Federally qualified health center (fqhc) visit, established patient; a medically-necessary, face-to-face encounter (one-on-one) between an established patient and a fqhc practitioner during which time one or more fqhc services are rendered and includes a typical bundle of medicare-covered services that would be furnished per diem to a patient receiving a fqhc visit"
G0468|"Federally qualified health center (fqhc) visit, ippe or awv; a fqhc visit that includes an initial preventive physical examination (ippe) or annual wellness visit (awv) and includes a typical bundle of medicare-covered services that would be furnished per diem to a patient receiving an ippe or awv"
G0469|"Federally qualified health center (fqhc) visit, mental health, new patient; a medically-necessary, face-to-face mental health encounter (one-on-one) between a new patient and a fqhc practitioner during which time one or more fqhc services are rendered and includes a typical bundle of medicare-covered services that would be furnished per diem to a patient receiving a mental health visit"
G0470|"Federally qualified health center (fqhc) visit, mental health, established patient; a medically-necessary, face-to-face mental health encounter (one-on-one) between an established patient and a fqhc practitioner during which time one or more fqhc services are rendered and includes a typical bundle of medicare-covered services that would be furnished per diem to a patient receiving a mental health visit"
G0471|Collection of venous blood by venipuncture or urine sample by catheterization from an individual in a skilled nursing facility (snf) or by a laboratory on behalf of a home health agency (hha)
G0472|"Hepatitis c antibody screening, for individual at high risk and other covered indication(s)"
G0473|"Face-to-face behavioral counseling for obesity, group (2-10), 30 minutes"
G0475|"Hiv antigen/antibody, combination assay, screening"
G0476|"Infectious agent detection by nucleic acid (dna or rna); human papillomavirus (hpv), high-risk types (eg, 16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 68) for cervical cancer screening, must be performed in addition to pap test"
G0908|Most recent hemoglobin (hgb) level > 12.0 g/dl
G0909|"Hemoglobin level measurement not documented, reason not given"
G0910|Most recent hemoglobin level <= 12.0 g/dl
G0911|Assessed level of activity and symptoms
G0912|Level of activity and symptoms not assessed
G0913|Improvement in visual function achieved within 90 days following cataract surgery
G0914|Patient care survey was not completed by patient
G0915|Improvement in visual function not achieved within 90 days following cataract surgery
G0916|Satisfaction with care achieved within 90 days following cataract surgery
G0917|Patient satisfaction survey was not completed by patient
G0918|Satisfaction with care not achieved within 90 days following cataract surgery
G0919|Influenza immunization ordered or recommended (to be given at alternate location or alternate provider); vaccine not available at time of visit
G0920|"Type, anatomic location, and activity all documented"
G0921|"Documentation of patient reason(s) for not being able to assess (e.g., patient refuses endoscopic and/or radiologic assessment)"
G0922|"No documentation of disease type, anatomic location, and activity, reason not given"
G3001|"Administration and supply of tositumomab, 450 mg"
G6001|Ultrasonic guidance for placement of radiation therapy fields
G6002|Stereoscopic x-ray guidance for localization of target volume for the delivery of radiation therapy
G6003|"Radiation treatment delivery, single treatment area,single port or parallel opposed ports, simple blocks or no blocks: up to 5 mev"
G6004|"Radiation treatment delivery, single treatment area,single port or parallel opposed ports, simple blocks or no blocks: 6-10 mev"
G6005|"Radiation treatment delivery, single treatment area,single port or parallel opposed ports, simple blocks or no blocks: 11-19 mev"
G6006|"Radiation treatment delivery, single treatment area,single port or parallel opposed ports, simple blocks or no blocks: 20 mev or greater"
G6007|"Radiation treatment delivery, 2 separate treatment areas, 3 or more ports on a single treatment area, use of multiple blocks: up to 5 mev"
G6008|"Radiation treatment delivery, 2 separate treatment areas, 3 or more ports on a single treatment area, use of multiple blocks: 6-10 mev"
G6009|"Radiation treatment delivery, 2 separate treatment areas, 3 or more ports on a single treatment area, use of multiple blocks: 11-19 mev"
